Date,Open,High,Low,Price,Volume,Change %
2/23/2024,"51,320.60","51,532.50","50,537.60","50,740.50",43.27,-1.13%
2/22/2024,"51,850.20","52,015.80","50,947.30","51,320.40",50.27,-1.04%
2/21/2024,"52,263.50","52,367.30","50,676.90","51,858.20",59.02,-0.78%
2/20/2024,"51,783.10","52,936.80","50,801.80","52,263.50",68.10,0.93%
2/19/2024,"52,119.60","52,484.80","51,694.20","51,783.60",36.73,-0.64%
2/18/2024,"51,646.00","52,350.30","51,199.60","52,117.50",26.89,0.91%
2/17/2024,"52,134.20","52,175.50","50,652.30","51,646.00",32.45,-0.94%
2/16/2024,"51,901.40","52,556.70","51,612.60","52,134.20",52.86,0.45%
2/15/2024,"51,805.20","52,819.40","51,327.50","51,901.30",74.72,0.23%
2/14/2024,"49,708.60","52,010.70","49,263.80","51,782.40",80.35,4.16%
2/13/2024,"49,941.00","50,326.60","48,398.30","49,716.00",78.51,-0.45%
2/12/2024,"48,280.20","50,277.30","47,729.90","49,941.30",81.85,3.45%
2/11/2024,"47,759.30","48,531.60","47,590.20","48,277.30",36.50,1.09%
2/10/2024,"47,128.00","48,149.00","46,875.00","47,758.20",31.20,1.34%
2/9/2024,"45,293.30","48,118.80","45,254.20","47,127.50",98.11,4.05%
2/8/2024,"44,346.20","45,579.20","44,336.40","45,293.30",66.38,2.15%
2/7/2024,"43,088.40","44,367.90","42,783.50","44,339.80",48.57,2.91%
2/6/2024,"42,697.60","43,375.50","42,566.80","43,087.70",33.32,0.91%
2/5/2024,"42,581.40","43,532.20","42,272.50","42,697.20",39.26,0.27%
2/4/2024,"43,006.20","43,113.20","42,379.40","42,581.40",20.33,-0.99%
2/3/2024,"43,194.70","43,370.40","42,882.00","43,005.70",14.57,-0.44%
2/2/2024,"43,083.70","43,459.30","42,596.30","43,194.70",42.65,0.26%
2/1/2024,"42,580.10","43,263.10","41,890.50","43,081.40",47.69,1.18%
1/31/2024,"42,946.20","43,739.70","42,315.40","42,580.50",56.48,-0.85%
1/30/2024,"43,303.30","43,817.90","42,702.90","42,946.20",55.13,-0.82%
1/29/2024,"42,031.40","43,305.60","41,824.70","43,299.80",45.23,3.02%
1/28/2024,"42,121.30","42,817.10","41,649.00","42,030.70",32.53,-0.21%
1/27/2024,"41,811.50","42,191.80","41,413.00","42,120.90",20.46,0.74%
1/26/2024,"39,942.00","42,214.80","39,831.20","41,811.30",69.47,4.70%
1/25/2024,"40,085.10","40,285.80","39,546.30","39,935.70",46.30,-0.37%
1/24/2024,"39,891.30","40,535.20","39,510.00","40,086.00",58.64,0.49%
1/23/2024,"39,555.00","40,159.40","38,546.90","39,888.80",82.67,0.84%
1/22/2024,"41,581.70","41,684.90","39,468.40","39,556.40",85.10,-4.87%
1/21/2024,"41,695.40","41,878.00","41,504.50","41,583.20",16.11,-0.27%
1/20/2024,"41,647.60","41,858.00","41,449.50","41,695.40",22.27,0.11%
