Date,Open,High,Low,Price,Volume,Change %
5/3/2022,38515,38647,37513,37718,367.21M,-2.07%
5/2/2022,38472,39134,38061,38514,580.79M,0.14%
5/1/2022,37642,38676,37397,38461,276.99M,2.15%
4/30/2022,38590,38776,37596,37650,248.22M,-2.41%
4/29/2022,39748,39919,38175,38581,382.90M,-2.94%
4/28/2022,39243,40382,38888,39748,542.39M,1.29%
4/27/2022,38113,39447,37869,39243,426.83M,2.96%
4/26/2022,40443,40770,37708,38113,681.47M,-5.72%
4/25/2022,39464,40599,38233,40427,654.60M,2.44%
4/24/2022,39434,39929,39033,39464,283.63M,0.12%
4/23/2022,39709,39973,39291,39418,190.60M,-0.73%
4/22/2022,40487,40792,39200,39709,421.30M,-1.91%
4/21/2022,41370,42969,39793,40482,493.05M,-2.14%
4/20/2022,41499,42203,40915,41368,382.84M,-0.33%
4/19/2022,40809,41746,40585,41503,268.28M,1.72%
4/18/2022,39700,41095,38577,40803,484.26M,2.77%
4/17/2022,40382,40599,39561,39703,210.01M,-1.68%
4/16/2022,40571,40691,40003,40382,151.31M,-0.44%
4/15/2022,39936,40850,39781,40560,233.09M,1.56%
4/14/2022,41133,41494,39585,39936,294.29M,-2.91%
4/13/2022,40072,41515,39581,41133,406.70M,2.63%
4/12/2022,39507,40678,39265,40078,468.27M,1.47%
4/11/2022,42144,42418,39202,39497,608.38M,-6.27%
4/10/2022,42760,43421,41884,42138,255.83M,-1.47%
4/9/2022,42275,42809,42129,42767,165.16M,1.16%
4/8/2022,43450,43979,42113,42275,467.83M,-2.70%
4/7/2022,43166,43893,42747,43448,390.85M,0.64%
4/6/2022,45494,45519,43122,43173,649.52M,-5.13%
4/5/2022,46614,47201,45388,45506,421.11M,-2.41%
4/4/2022,46407,46899,45152,46629,446.12M,0.48%
4/3/2022,45813,47435,45554,46407,398.86M,1.30%
4/2/2022,46299,47212,45641,45811,345.93M,-1.05%
4/1/2022,45529,46728,44261,46297,632.93M,1.70%
3/31/2022,47071,47624,45228,45525,520.00M,-3.29%
3/30/2022,47449,47714,46601,47075,467.76M,-0.79%
3/29/2022,47126,48127,47029,47449,478.82M,0.73%
3/28/2022,46859,48199,46672,47105,610.27M,0.52%
3/27/2022,44542,46947,44445,46859,388.79M,5.19%
3/26/2022,44331,44818,44090,44548,196.30M,0.49%
3/25/2022,44013,45112,43622,44331,494.09M,0.72%
3/24/2022,42911,44251,42658,44013,491.66M,2.57%
3/23/2022,42373,43027,41795,42912,433.96M,1.27%
3/22/2022,41022,43327.9,40893,42373,537.06M,3.29%
3/21/2022,41282,41532,40530,41022,406.62M,-0.62%
3/20/2022,42241,42301,40922,41276,308.45M,-2.27%
